"GID","Breeding Cycle","Managed_Treatment","Grain_Yield_BLUE"
6863412,"2013-14","Heat",2.33498108281489
6863412,"2013-14","Severe Drought",1.66783555078704
6863412,"2013-14","Optimal Flat",5.81499004742472
6863491,"2013-14","Moderate Drought",3.72877373077364
6863491,"2013-14","Optimal Bed",6.77956193787709
6863491,"2013-14","Heat",2.12346533329182
6863491,"2013-14","Severe Drought",1.92561096992208
6863491,"2013-14","Optimal Flat",7.59518672736311
6863500,"2013-14","Moderate Drought",3.42733399609414
6863500,"2013-14","Optimal Bed",6.49768603108923
6863500,"2013-14","Heat",1.29859544473551
6863500,"2013-14","Severe Drought",1.39482305011056
6863500,"2013-14","Optimal Flat",6.92562587113467
6863517,"2013-14","Moderate Drought",4.07330914576884
6863517,"2013-14","Optimal Bed",6.38001889558843
6863517,"2013-14","Heat",2.98255422039456
6863517,"2013-14","Severe Drought",2.55901161782561
6863517,"2013-14","Optimal Flat",5.89328208732161
6931346,"2013-14","Moderate Drought",3.74213187941331
6931346,"2013-14","Optimal Bed",6.84161834847527
6931346,"2013-14","Heat",2.73142475931934
6931346,"2013-14","Severe Drought",2.26088937710715
6931346,"2013-14","Optimal Flat",6.78922780779779
6931353,"2013-14","Moderate Drought",3.82378542041728
6931353,"2013-14","Optimal Bed",6.45937454667313
6931353,"2013-14","Heat",2.6152043781098
6931353,"2013-14","Severe Drought",2.30006606086878
6931353,"2013-14","Optimal Flat",6.34504418097349
6931355,"2013-14","Moderate Drought",3.66606502650989
6931355,"2013-14","Optimal Bed",6.71002297043429
6931355,"2013-14","Heat",2.63419398711249
6931355,"2013-14","Severe Drought",2.2744869747601
6931355,"2013-14","Optimal Flat",6.77196732062003
6931358,"2013-14","Moderate Drought",3.74112975397404
6931358,"2013-14","Optimal Bed",6.81036004900542
6931358,"2013-14","Heat",2.78279617300325
6931358,"2013-14","Severe Drought",2.16671257572406
6931358,"2013-14","Optimal Flat",6.95926277004705
6931367,"2013-14","Moderate Drought",3.46155415226765
6931367,"2013-14","Optimal Bed",6.24435638543306
6931367,"2013-14","Heat",1.4541223163383
6931367,"2013-14","Severe Drought",1.4281585564042
6931367,"2013-14","Optimal Flat",5.82499222985442
6931368,"2013-14","Moderate Drought",3.10557782651756
6931368,"2013-14","Optimal Bed",5.6071287754534
6931368,"2013-14","Heat",1.20133122238686
6931368,"2013-14","Severe Drought",1.67912224873434
6931368,"2013-14","Optimal Flat",5.77768535199942
6931369,"2013-14","Moderate Drought",2.56856266073755
6931369,"2013-14","Optimal Bed",5.67245973984981
6931369,"2013-14","Heat",1.2276172409553
6931369,"2013-14","Severe Drought",0.317648114468871
6931369,"2013-14","Optimal Flat",4.23223704433954
6931374,"2013-14","Moderate Drought",3.17087943822422
6931374,"2013-14","Optimal Bed",5.38280576050008
6931374,"2013-14","Heat",1.84199723653947
6931374,"2013-14","Severe Drought",1.45891917720715
6931374,"2013-14","Optimal Flat",5.11020938713869
6931381,"2013-14","Moderate Drought",2.94835452616139
6931381,"2013-14","Optimal Bed",5.4729620020542
6931381,"2013-14","Heat",1.22983742999345
6931381,"2013-14","Severe Drought",1.84914471023409
6931381,"2013-14","Optimal Flat",5.73616636973728
6931420,"2013-14","Moderate Drought",3.42771624119725
6931420,"2013-14","Optimal Bed",5.82456920212249
6931420,"2013-14","Heat",2.29755590266162
6931420,"2013-14","Severe Drought",1.69261691773221
6931420,"2013-14","Optimal Flat",6.54355829962533
6931424,"2013-14","Moderate Drought",4.08129471707194
6931424,"2013-14","Optimal Bed",6.06496258727894
6931424,"2013-14","Heat",2.43383278540363
6931424,"2013-14","Severe Drought",2.64794951405626
6931424,"2013-14","Optimal Flat",6.36206811259779
6931425,"2013-14","Moderate Drought",4.22488333018398
6931425,"2013-14","Optimal Bed",6.32677659037313
6931425,"2013-14","Heat",2.30445543584003
6931425,"2013-14","Severe Drought",2.64558115274398
6931425,"2013-14","Optimal Flat",6.30817743859932
6931494,"2013-14","Moderate Drought",4.09072883444126
6931494,"2013-14","Optimal Bed",6.09790725262382
6931494,"2013-14","Heat",1.72267600587574
6931494,"2013-14","Severe Drought",2.5279681017851
6931494,"2013-14","Optimal Flat",4.56318470585351
6931506,"2013-14","Moderate Drought",4.00392710616123
6931506,"2013-14","Optimal Bed",5.24335647246936
6931506,"2013-14","Heat",2.5124835625587
6931506,"2013-14","Severe Drought",2.8230436150632
6931506,"2013-14","Optimal Flat",5.58353495323699
6931509,"2013-14","Moderate Drought",4.63524063099918
6931509,"2013-14","Optimal Bed",5.92728457338579
6931509,"2013-14","Heat",2.98508587368531
6931509,"2013-14","Severe Drought",2.76668928898377
6931509,"2013-14","Optimal Flat",5.55986536832882
6931512,"2013-14","Moderate Drought",4.31008842344499
6931512,"2013-14","Optimal Bed",5.94971528514082
6931512,"2013-14","Heat",3.0102713809074
6931512,"2013-14","Severe Drought",2.71618086489196
6931512,"2013-14","Optimal Flat",6.23462135677243
6931515,"2013-14","Moderate Drought",3.72344675436616
6931515,"2013-14","Optimal Bed",5.84696982935032
6931515,"2013-14","Heat",2.74546488024585
6931515,"2013-14","Severe Drought",2.4232887147855
6931515,"2013-14","Optimal Flat",5.34164458765663
6931516,"2013-14","Moderate Drought",4.22197202500274
6931516,"2013-14","Optimal Bed",5.73522961513117
6931516,"2013-14","Heat",2.74841041612073
6931516,"2013-14","Severe Drought",2.49183938713243
6931516,"2013-14","Optimal Flat",4.64653731665948
6931517,"2013-14","Moderate Drought",3.92272102933693
6931517,"2013-14","Optimal Bed",6.53310759119923
6931517,"2013-14","Heat",2.98084744475044
6931517,"2013-14","Severe Drought",2.48592089084923
6931517,"2013-14","Optimal Flat",5.82761884930207
6931519,"2013-14","Moderate Drought",4.26900613498768
6931519,"2013-14","Optimal Bed",6.45363752730609
6931519,"2013-14","Heat",2.56508639115119
6931519,"2013-14","Severe Drought",2.4348209262741
6931519,"2013-14","Optimal Flat",6.17266842559926
6931520,"2013-14","Moderate Drought",4.13257309467372
6931520,"2013-14","Optimal Bed",6.19506187321199
6931520,"2013-14","Heat",2.11906423513891
6931520,"2013-14","Severe Drought",2.42543142226819
6931520,"2013-14","Optimal Flat",6.4754150596646
6931531,"2013-14","Moderate Drought",4.27323537197402
6931531,"2013-14","Optimal Bed",5.96509864822011
6931531,"2013-14","Heat",2.33567367944904
6931531,"2013-14","Severe Drought",2.37592748599847
6931531,"2013-14","Optimal Flat",5.36778607292262
6931560,"2013-14","Moderate Drought",3.98556709182697
6931560,"2013-14","Optimal Bed",6.24540410210503
6931560,"2013-14","Heat",2.18108687625305
6931560,"2013-14","Severe Drought",1.96536045231331
6931560,"2013-14","Optimal Flat",7.09332528966479
6931568,"2013-14","Moderate Drought",3.90057561883122
6931568,"2013-14","Optimal Bed",6.58692177670904
6931568,"2013-14","Heat",1.82567822223459
6931568,"2013-14","Severe Drought",2.22908707966297
6931568,"2013-14","Optimal Flat",6.57770421208762
6931587,"2013-14","Moderate Drought",3.67017042015152
6931587,"2013-14","Optimal Bed",6.6160699739742
6931587,"2013-14","Heat",2.6961360277537
6931587,"2013-14","Severe Drought",1.79067783189157
6931587,"2013-14","Optimal Flat",6.69966691945215
6931590,"2013-14","Moderate Drought",3.83216873578515
6931590,"2013-14","Optimal Bed",6.22401497282523
6931590,"2013-14","Heat",2.79111159559053
6931590,"2013-14","Severe Drought",2.12953248126621
6931590,"2013-14","Optimal Flat",6.54642552411772
6931593,"2013-14","Moderate Drought",3.67368676578515
6931593,"2013-14","Optimal Bed",5.8259496694919
6931593,"2013-14","Heat",2.51581395892386
6931593,"2013-14","Severe Drought",2.26991748126621
6931593,"2013-14","Optimal Flat",6.20454488745105
6931606,"2013-14","Moderate Drought",4.08123346571458
6931606,"2013-14","Optimal Bed",6.44787419705335
6931606,"2013-14","Heat",1.98898098968875
6931606,"2013-14","Severe Drought",1.7636924769415
6931606,"2013-14","Optimal Flat",7.19433477277737
6931608,"2013-14","Moderate Drought",3.7898559933439
6931608,"2013-14","Optimal Bed",7.11958785560144
6931608,"2013-14","Heat",2.29199916625529
6931608,"2013-14","Severe Drought",2.09924907349917
6931608,"2013-14","Optimal Flat",6.10546049745961
6931614,"2013-14","Moderate Drought",3.49241087368958
6931614,"2013-14","Optimal Bed",6.03491797117079
6931614,"2013-14","Heat",2.33045050522168
6931614,"2013-14","Severe Drought",2.44920074094774
6931614,"2013-14","Optimal Flat",5.88091479199966
6931630,"2013-14","Moderate Drought",3.89529360692665
6931630,"2013-14","Optimal Bed",6.25935453797959
6931630,"2013-14","Heat",2.52752339649104
6931630,"2013-14","Severe Drought",2.63140925108463
6931630,"2013-14","Optimal Flat",5.55081595088152
6931632,"2013-14","Moderate Drought",3.44163016140128
6931632,"2013-14","Optimal Bed",5.52609570659408
6931632,"2013-14","Heat",2.29548514135957
6931632,"2013-14","Severe Drought",2.05359601733903
6931632,"2013-14","Optimal Flat",5.25817555945039
6931635,"2013-14","Moderate Drought",3.8889963535625
6931635,"2013-14","Optimal Bed",5.82130250258344
6931635,"2013-14","Heat",2.3039387029387
6931635,"2013-14","Severe Drought",2.2340306907722
6931635,"2013-14","Optimal Flat",5.05465324544385
6931644,"2013-14","Moderate Drought",3.54353226568237
6931644,"2013-14","Optimal Bed",6.39297764563464
6931644,"2013-14","Heat",2.52933189046309
6931644,"2013-14","Severe Drought",2.40331425795477
6931644,"2013-14","Optimal Flat",5.29416937753567
6931645,"2013-14","Moderate Drought",3.8203007260844
6931645,"2013-14","Optimal Bed",6.56986252264621
6931645,"2013-14","Heat",2.09821785358265
6931645,"2013-14","Severe Drought",1.61090773863552
6931645,"2013-14","Optimal Flat",6.20304140081148
6931655,"2013-14","Moderate Drought",3.68376073918097
6931655,"2013-14","Optimal Bed",5.6516422015928
6931655,"2013-14","Heat",2.41975665269423
6931655,"2013-14","Severe Drought",2.41167101869769
6931655,"2013-14","Optimal Flat",4.92654861863431
6931663,"2013-14","Moderate Drought",3.25185586947808
6931663,"2013-14","Optimal Bed",6.02760409095339
6931663,"2013-14","Heat",2.40735720053551
6931663,"2013-14","Severe Drought",0.960802769349838
6931663,"2013-14","Optimal Flat",5.85188487548398
6931675,"2013-14","Moderate Drought",4.16748240306833
6931675,"2013-14","Optimal Bed",6.19509938481544
6931675,"2013-14","Heat",2.72967943850628
6931675,"2013-14","Severe Drought",2.56676259928951
6931675,"2013-14","Optimal Flat",6.36254288176242
6931677,"2013-14","Moderate Drought",3.11933523742581
6931677,"2013-14","Optimal Bed",5.20246171700575
6931677,"2013-14","Heat",2.31982826784403
6931677,"2013-14","Severe Drought",0.339976548285198
6931677,"2013-14","Optimal Flat",5.46744211820462
6931698,"2013-14","Moderate Drought",3.50295587371588
6931698,"2013-14","Optimal Bed",6.06823034847275
6931698,"2013-14","Heat",2.26226160391114
6931698,"2013-14","Severe Drought",2.1472436560686
6931698,"2013-14","Optimal Flat",6.4270609543098
6931705,"2013-14","Moderate Drought",3.29128906896916
6931705,"2013-14","Optimal Bed",4.96934287967599
6931705,"2013-14","Heat",2.00060956011141
6931705,"2013-14","Severe Drought",1.16136887449667
6931705,"2013-14","Optimal Flat",3.81767557677258
6931707,"2013-14","Moderate Drought",3.79742248705184
6931707,"2013-14","Optimal Bed",6.12582476008946
6931707,"2013-14","Heat",1.89783834521016
6931707,"2013-14","Severe Drought",2.151965117386
6931707,"2013-14","Optimal Flat",5.2680534292388
6931728,"2013-14","Moderate Drought",3.0311295450869
6931728,"2013-14","Optimal Bed",5.08576306168304
6931728,"2013-14","Heat",2.44401232622119
6931728,"2013-14","Severe Drought",1.71064490956571
6931728,"2013-14","Optimal Flat",4.75099381123883
6931729,"2013-14","Moderate Drought",3.26249323936136
6931729,"2013-14","Optimal Bed",5.73041535804648
6931729,"2013-14","Heat",2.65081785059257
6931729,"2013-14","Severe Drought",2.24125664969029
6931729,"2013-14","Optimal Flat",6.17443376699846
6931730,"2013-14","Moderate Drought",2.92629418152695
6931730,"2013-14","Optimal Bed",5.43209784050413
6931730,"2013-14","Heat",2.39959783773091
6931730,"2013-14","Severe Drought",1.86478499103575
6931730,"2013-14","Optimal Flat",5.91080130060167
6931736,"2013-14","Moderate Drought",3.24812321051245
6931736,"2013-14","Optimal Bed",5.93297250962918
6931736,"2013-14","Heat",2.2497165615706
6931736,"2013-14","Severe Drought",1.24908629238996
6931736,"2013-14","Optimal Flat",5.31453286426389
6931754,"2013-14","Moderate Drought",2.92125603630891
6931754,"2013-14","Optimal Bed",5.46925373945864
6931754,"2013-14","Heat",2.1092268000591
6931754,"2013-14","Severe Drought",1.44551903712771
6931754,"2013-14","Optimal Flat",5.81700106613651
6931780,"2013-14","Moderate Drought",3.41716294040012
6931780,"2013-14","Optimal Bed",6.7353964226204
6931780,"2013-14","Heat",2.86908596766199
6931780,"2013-14","Severe Drought",2.05605393238413
6931780,"2013-14","Optimal Flat",6.5499741002605
6931781,"2013-14","Moderate Drought",3.63961483691763
6931781,"2013-14","Optimal Bed",6.79921863849565
6931781,"2013-14","Heat",2.79440802341915
6931781,"2013-14","Severe Drought",1.99344591542917
6931781,"2013-14","Optimal Flat",6.6248910553573
6931814,"2013-14","Moderate Drought",3.44208798763196
6931814,"2013-14","Optimal Bed",6.03651919861024
6931814,"2013-14","Heat",2.44560613121441
6931814,"2013-14","Severe Drought",2.29620454731789
6931814,"2013-14","Optimal Flat",6.25486506936206
6931822,"2013-14","Moderate Drought",3.3931445078644
6931822,"2013-14","Optimal Bed",4.63512425670099
6931822,"2013-14","Heat",1.82721053005007
6931822,"2013-14","Severe Drought",1.82669684242897
6931822,"2013-14","Optimal Flat",5.84224981391775
6931840,"2013-14","Moderate Drought",3.82957604302274
6931840,"2013-14","Optimal Bed",6.0460576473628
6931840,"2013-14","Heat",1.83921122431146
6931840,"2013-14","Severe Drought",2.68598659304586
6931840,"2013-14","Optimal Flat",6.15936115882697
6931845,"2013-14","Moderate Drought",3.95901923236855
6931845,"2013-14","Optimal Bed",6.37147427607553
6931845,"2013-14","Heat",2.39777193295185
6931845,"2013-14","Severe Drought",2.31234651402163
6931845,"2013-14","Optimal Flat",6.51710212330409
6931852,"2013-14","Moderate Drought",3.56287930928055
6931852,"2013-14","Optimal Bed",6.11872067278838
6931852,"2013-14","Heat",2.42747681331447
6931852,"2013-14","Severe Drought",2.19227403703277
6931852,"2013-14","Optimal Flat",6.10185068966666
6931862,"2013-14","Moderate Drought",3.9236004521679
6931862,"2013-14","Optimal Bed",5.9180444578803
6931862,"2013-14","Heat",2.03712533483105
6931862,"2013-14","Severe Drought",2.20620208729664
6931862,"2013-14","Optimal Flat",6.6870141672697
6931889,"2013-14","Moderate Drought",3.50865499321992
6931889,"2013-14","Optimal Bed",5.70076800479894
