"GID","Breeding Cycle","Managed_Treatment","Grain_Yield_iid_BLUP"
6861531,"2013-14","Moderate Drought",3.42657025708981
6861531,"2013-14","Optimal Bed",5.98503961771049
6861531,"2013-14","Heat",1.90659672680568
6861531,"2013-14","Severe Drought",1.96679932560992
6861531,"2013-14","Optimal Flat",5.84773710538428
6861633,"2013-14","Moderate Drought",3.34345819986721
6861633,"2013-14","Optimal Bed",5.75251996866683
6861633,"2013-14","Heat",2.21788031729831
6861633,"2013-14","Severe Drought",2.13481990368181
6861633,"2013-14","Optimal Flat",5.82707362933841
6861663,"2013-14","Moderate Drought",3.85303507578815
6861663,"2013-14","Optimal Bed",6.46514567737573
6861663,"2013-14","Heat",2.46923567347666
6861663,"2013-14","Severe Drought",2.62313080734291
6861663,"2013-14","Optimal Flat",6.42517199767749
6861690,"2013-14","Moderate Drought",3.40004673901265
6861690,"2013-14","Optimal Bed",5.876478297107
6861690,"2013-14","Heat",2.34338729770021
6861690,"2013-14","Severe Drought",1.91005198197987
6861690,"2013-14","Optimal Flat",6.41523476643422
6861862,"2013-14","Moderate Drought",3.84220351834674
6861862,"2013-14","Optimal Bed",6.51319928337115
6861862,"2013-14","Heat",2.20357730274575
6861862,"2013-14","Severe Drought",2.14569083373007
6861862,"2013-14","Optimal Flat",6.48136263330582
6861885,"2013-14","Moderate Drought",3.59577148055459
6861885,"2013-14","Optimal Bed",6.09571252438111
6861885,"2013-14","Heat",2.58340345581796
6861885,"2013-14","Severe Drought",2.05300136019713
6861885,"2013-14","Optimal Flat",5.88519613798768
6861890,"2013-14","Moderate Drought",3.43923091082194
6861890,"2013-14","Optimal Bed",6.21675626052972
6861890,"2013-14","Heat",2.85559996712727
6861890,"2013-14","Severe Drought",2.52261857685609
6861890,"2013-14","Optimal Flat",5.82986415397413
6861897,"2013-14","Moderate Drought",3.76643552211722
6861897,"2013-14","Optimal Bed",6.29324919971989
6861897,"2013-14","Heat",2.76979676728073
6861897,"2013-14","Severe Drought",2.47956148036927
6861897,"2013-14","Optimal Flat",5.96255173314056
6861915,"2013-14","Moderate Drought",3.26593355238292
6861915,"2013-14","Optimal Bed",6.1562504262033
6861915,"2013-14","Heat",2.16653707527421
6861915,"2013-14","Severe Drought",1.47552305410099
6861915,"2013-14","Optimal Flat",6.20648654100154
6861919,"2013-14","Moderate Drought",3.66315809047408
6861919,"2013-14","Optimal Bed",6.04893097540161
6861919,"2013-14","Heat",2.16177475875825
6861919,"2013-14","Severe Drought",2.16408009901603
6861919,"2013-14","Optimal Flat",6.20250123267404
6861967,"2013-14","Moderate Drought",3.68104070611297
6861967,"2013-14","Optimal Bed",5.84452866951174
6861967,"2013-14","Heat",2.302216872861
6861967,"2013-14","Severe Drought",2.18493566635076
6861967,"2013-14","Optimal Flat",5.88733548508025
6862002,"2013-14","Moderate Drought",4.17025210436611
6862002,"2013-14","Optimal Bed",6.01340286418325
6862002,"2013-14","Heat",2.46678976973066
6862002,"2013-14","Severe Drought",2.60868358567939
6862002,"2013-14","Optimal Flat",6.27262134889811
6862015,"2013-14","Moderate Drought",3.47584615013065
6862015,"2013-14","Optimal Bed",6.3698597662009
6862015,"2013-14","Heat",2.53635486155467
6862015,"2013-14","Severe Drought",2.0765842620243
6862015,"2013-14","Optimal Flat",5.72618539327939
6862021,"2013-14","Moderate Drought",3.482528883699
6862021,"2013-14","Optimal Bed",5.59625869574991
6862021,"2013-14","Heat",2.38890699250879
6862021,"2013-14","Severe Drought",2.14049364762414
6862021,"2013-14","Optimal Flat",5.99400967021482
6862028,"2013-14","Moderate Drought",4.04783891439835
6862028,"2013-14","Optimal Bed",6.33938422499006
6862028,"2013-14","Heat",2.23871228512894
6862028,"2013-14","Severe Drought",2.31751720344989
6862028,"2013-14","Optimal Flat",6.31269006161962
6862030,"2013-14","Moderate Drought",3.03635879292343
6862030,"2013-14","Optimal Bed",5.71609617357479
6862030,"2013-14","Heat",2.01234221962008
6862030,"2013-14","Severe Drought",1.09986414270755
6862030,"2013-14","Optimal Flat",6.13929037779874
6862058,"2013-14","Moderate Drought",4.05617061031962
6862058,"2013-14","Optimal Bed",5.96512667294402
6862058,"2013-14","Heat",2.46381618979409
6862058,"2013-14","Severe Drought",2.44806071830024
6862058,"2013-14","Optimal Flat",5.98016833502826
6862260,"2013-14","Moderate Drought",3.51181812252003
6862260,"2013-14","Optimal Bed",5.9165396547197
6862260,"2013-14","Heat",1.97124612935099
6862260,"2013-14","Severe Drought",1.82624147431357
6862260,"2013-14","Optimal Flat",6.23516785170577
6862300,"2013-14","Moderate Drought",3.22485930592586
6862300,"2013-14","Optimal Bed",6.28487221702629
6862300,"2013-14","Heat",2.51104161258938
6862300,"2013-14","Severe Drought",2.31827272529855
6862300,"2013-14","Optimal Flat",6.18249437153688
6862303,"2013-14","Moderate Drought",3.83647437641395
6862303,"2013-14","Optimal Bed",6.46861921132839
6862303,"2013-14","Heat",2.14489301135057
6862303,"2013-14","Severe Drought",2.47042132269856
6862303,"2013-14","Optimal Flat",6.28956825963922
6862314,"2013-14","Moderate Drought",3.74252909499246
6862314,"2013-14","Optimal Bed",6.0231953316807
6862314,"2013-14","Heat",2.31248876160206
6862314,"2013-14","Severe Drought",2.34033925821824
6862314,"2013-14","Optimal Flat",6.00878180293958
6862365,"2013-14","Moderate Drought",3.34769155893493
6862365,"2013-14","Optimal Bed",5.65866518379262
6862365,"2013-14","Heat",2.27766241930332
6862365,"2013-14","Severe Drought",1.00085922270678
6862365,"2013-14","Optimal Flat",5.34683971592818
6862370,"2013-14","Moderate Drought",3.42893521552437
6862370,"2013-14","Optimal Bed",5.63613713139208
6862370,"2013-14","Heat",2.39570856483556
6862370,"2013-14","Severe Drought",1.63736269784142
6862370,"2013-14","Optimal Flat",5.57324457263648
6862387,"2013-14","Moderate Drought",3.42814646229536
6862387,"2013-14","Optimal Bed",6.02449571411296
6862387,"2013-14","Heat",2.42615015072215
6862387,"2013-14","Severe Drought",1.92439366719102
6862387,"2013-14","Optimal Flat",6.01700161811613
6862407,"2013-14","Moderate Drought",3.96650289420163
6862407,"2013-14","Optimal Bed",6.03482005371691
6862407,"2013-14","Heat",2.63970999634341
6862407,"2013-14","Severe Drought",2.30144091287591
6862407,"2013-14","Optimal Flat",6.12982612205201
6862457,"2013-14","Moderate Drought",3.95028143807991
6862457,"2013-14","Optimal Bed",6.40890212454243
6862457,"2013-14","Heat",2.73515177086115
6862457,"2013-14","Severe Drought",2.11077383837814
6862457,"2013-14","Optimal Flat",6.15634227598708
6862474,"2013-14","Moderate Drought",3.56629718765549
6862474,"2013-14","Optimal Bed",6.55452506462524
6862474,"2013-14","Heat",2.000172205205
6862474,"2013-14","Severe Drought",2.07733474479787
6862474,"2013-14","Optimal Flat",6.47178864888824
6862745,"2013-14","Moderate Drought",3.4758430257203
6862745,"2013-14","Optimal Bed",5.85742553979428
6862745,"2013-14","Heat",2.01082588045344
6862745,"2013-14","Severe Drought",1.98012416827601
6862745,"2013-14","Optimal Flat",5.65054724766493
6862771,"2013-14","Moderate Drought",3.63111899438488
6862771,"2013-14","Optimal Bed",5.76198652636485
6862771,"2013-14","Heat",1.90298710900277
6862771,"2013-14","Severe Drought",1.91171895295595
6862771,"2013-14","Optimal Flat",5.81850188766917
6862787,"2013-14","Moderate Drought",3.71962197022279
6862787,"2013-14","Optimal Bed",6.25013341361364
6862787,"2013-14","Heat",1.70244289453861
6862787,"2013-14","Severe Drought",1.5477515771751
6862787,"2013-14","Optimal Flat",6.03480683876636
6862797,"2013-14","Moderate Drought",3.74104554936919
6862797,"2013-14","Optimal Bed",6.09866424231473
6862797,"2013-14","Heat",2.33508633982212
6862797,"2013-14","Severe Drought",2.31108361119979
6862797,"2013-14","Optimal Flat",5.61061811893872
6862807,"2013-14","Moderate Drought",4.20032197489293
6862807,"2013-14","Optimal Bed",5.93194809536955
6862807,"2013-14","Heat",2.88037049602491
6862807,"2013-14","Severe Drought",2.4353047833685
6862807,"2013-14","Optimal Flat",6.06256559161135
6862975,"2013-14","Moderate Drought",3.57928831734566
6862975,"2013-14","Optimal Bed",6.18963704714378
6862975,"2013-14","Heat",1.59733327938502
6862975,"2013-14","Severe Drought",1.91396957464961
6862975,"2013-14","Optimal Flat",6.25731228481657
6863300,"2013-14","Moderate Drought",3.80117097645607
6863300,"2013-14","Optimal Bed",6.23710169266676
6863300,"2013-14","Heat",3.08493924145387
6863300,"2013-14","Severe Drought",2.28713012644361
6863300,"2013-14","Optimal Flat",5.68396155771079
6863318,"2013-14","Moderate Drought",3.6890471208599
6863318,"2013-14","Optimal Bed",6.04283043661387
6863318,"2013-14","Heat",2.50616095505633
6863318,"2013-14","Severe Drought",2.04547246484375
6863318,"2013-14","Optimal Flat",5.9077204889508
6863371,"2013-14","Moderate Drought",3.55206855631779
6863371,"2013-14","Optimal Bed",5.70500238084128
6863371,"2013-14","Heat",2.251159470313
6863371,"2013-14","Severe Drought",1.85716138294118
6863371,"2013-14","Optimal Flat",6.10931780184025
6863396,"2013-14","Moderate Drought",3.54098151690861
6863396,"2013-14","Optimal Bed",6.19772903474795
6863396,"2013-14","Heat",2.42758790657583
6863396,"2013-14","Severe Drought",2.1716356331775
6863396,"2013-14","Optimal Flat",6.20722223917186
6863412,"2013-14","Moderate Drought",3.53742904244746
6863412,"2013-14","Optimal Bed",5.91007860042776
6863412,"2013-14","Heat",2.21722803339013
6863412,"2013-14","Severe Drought",1.63379054856735
6863412,"2013-14","Optimal Flat",5.96759617655881
6863491,"2013-14","Moderate Drought",3.7353766594865
6863491,"2013-14","Optimal Bed",6.60267074399449
6863491,"2013-14","Heat",2.27799960099673
6863491,"2013-14","Severe Drought",1.86734529547042
6863491,"2013-14","Optimal Flat",6.73114915850406
6863500,"2013-14","Moderate Drought",3.49671449095952
6863500,"2013-14","Optimal Bed",6.35353169257106
6863500,"2013-14","Heat",1.50671787553457
6863500,"2013-14","Severe Drought",1.37955760068088
6863500,"2013-14","Optimal Flat",6.33898331580426
6863517,"2013-14","Moderate Drought",3.9735956711767
6863517,"2013-14","Optimal Bed",6.20743575801027
6863517,"2013-14","Heat",2.87497565351251
6863517,"2013-14","Severe Drought",2.42543464239006
6863517,"2013-14","Optimal Flat",6.41609421358864
6931346,"2013-14","Moderate Drought",3.78301317327985
6931346,"2013-14","Optimal Bed",6.35212011303999
6931346,"2013-14","Heat",2.63037887738628
6931346,"2013-14","Severe Drought",2.26251001437565
6931346,"2013-14","Optimal Flat",6.32339603951241
6931353,"2013-14","Moderate Drought",3.86001885873611
6931353,"2013-14","Optimal Bed",6.11315196833724
6931353,"2013-14","Heat",2.52368810933824
6931353,"2013-14","Severe Drought",2.31315374663254
6931353,"2013-14","Optimal Flat",6.07727979033127
6931355,"2013-14","Moderate Drought",3.73547565182453
6931355,"2013-14","Optimal Bed",6.25961191591979
6931355,"2013-14","Heat",2.55678248051088
6931355,"2013-14","Severe Drought",2.28880384991089
6931355,"2013-14","Optimal Flat",6.31538369617181
6931358,"2013-14","Moderate Drought",3.78853289165439
6931358,"2013-14","Optimal Bed",6.36576106697349
6931358,"2013-14","Heat",2.68310644325602
6931358,"2013-14","Severe Drought",2.17921490535893
6931358,"2013-14","Optimal Flat",6.4288175108383
6931367,"2013-14","Moderate Drought",3.57013336069202
6931367,"2013-14","Optimal Bed",6.114032801047
6931367,"2013-14","Heat",1.47182725676449
6931367,"2013-14","Severe Drought",1.51647212871401
6931367,"2013-14","Optimal Flat",5.84710370311008
6931368,"2013-14","Moderate Drought",3.27331210820946
6931368,"2013-14","Optimal Bed",5.7941448940066
6931368,"2013-14","Heat",1.25586372440038
6931368,"2013-14","Severe Drought",1.75269075185202
6931368,"2013-14","Optimal Flat",5.84285639573433
6931369,"2013-14","Moderate Drought",2.81685168826283
6931369,"2013-14","Optimal Bed",5.83146827943235
6931369,"2013-14","Heat",1.26892048087842
6931369,"2013-14","Severe Drought",0.477079713099176
6931369,"2013-14","Optimal Flat",5.46500179725667
6931374,"2013-14","Moderate Drought",3.32837902469551
6931374,"2013-14","Optimal Bed",5.65113268691362
6931374,"2013-14","Heat",1.83545157655522
6931374,"2013-14","Severe Drought",1.55373500364356
6931374,"2013-14","Optimal Flat",5.59639775070346
6931381,"2013-14","Moderate Drought",3.11176418998834
6931381,"2013-14","Optimal Bed",5.73967727656277
6931381,"2013-14","Heat",1.24806194278182
6931381,"2013-14","Severe Drought",1.88309684201191
6931381,"2013-14","Optimal Flat",5.88800032131323
6931420,"2013-14","Moderate Drought",3.53414072294744
6931420,"2013-14","Optimal Bed",6.1944015367833
6931420,"2013-14","Heat",2.34277788633571
6931420,"2013-14","Severe Drought",1.7621046791102
6931420,"2013-14","Optimal Flat",6.41552766832671
6931424,"2013-14","Moderate Drought",4.07727502115463
6931424,"2013-14","Optimal Bed",6.1611192688731
6931424,"2013-14","Heat",2.46715537769243
6931424,"2013-14","Severe Drought",2.65103436724298
6931424,"2013-14","Optimal Flat",6.15365912166398
6931425,"2013-14","Moderate Drought",4.20362190431949
6931425,"2013-14","Optimal Bed",6.44266143351243
6931425,"2013-14","Heat",2.34835195428168
6931425,"2013-14","Severe Drought",2.65073407680474
6931425,"2013-14","Optimal Flat",6.12961614174003
6931494,"2013-14","Moderate Drought",3.88113465747323
6931494,"2013-14","Optimal Bed",6.04557405852154
6931494,"2013-14","Heat",1.68783328253028
6931494,"2013-14","Severe Drought",2.37910723696652
6931494,"2013-14","Optimal Flat",5.18184663178369
6931506,"2013-14","Moderate Drought",3.79081411762071
6931506,"2013-14","Optimal Bed",5.53775660141896
6931506,"2013-14","Heat",2.3831213670531
6931506,"2013-14","Severe Drought",2.6498393562283
6931506,"2013-14","Optimal Flat",6.12058260778113
6931509,"2013-14","Moderate Drought",4.3149267739044
6931509,"2013-14","Optimal Bed",6.03669921715333
6931509,"2013-14","Heat",2.82622785225097
6931509,"2013-14","Severe Drought",2.58172382393045
6931509,"2013-14","Optimal Flat",6.05999784947752
6931512,"2013-14","Moderate Drought",4.0421251950375
6931512,"2013-14","Optimal Bed",6.10338327131489
6931512,"2013-14","Heat",2.8432186737366
6931512,"2013-14","Severe Drought",2.53727701476961
6931512,"2013-14","Optimal Flat",6.62938470548466
6931515,"2013-14","Moderate Drought",3.54898744161537
6931515,"2013-14","Optimal Bed",6.0388077257876
6931515,"2013-14","Heat",2.60142315820484
6931515,"2013-14","Severe Drought",2.28307527733001
6931515,"2013-14","Optimal Flat",5.95136203898698
6931516,"2013-14","Moderate Drought",3.96044539961872
6931516,"2013-14","Optimal Bed",5.96410492334105
6931516,"2013-14","Heat",2.59308221975985
6931516,"2013-14","Severe Drought",2.32588260254455
6931516,"2013-14","Optimal Flat",5.77728595299238
6931517,"2013-14","Moderate Drought",3.7271252754226
6931517,"2013-14","Optimal Bed",6.48660861304522
6931517,"2013-14","Heat",2.82291132919763
6931517,"2013-14","Severe Drought",2.34137616089911
6931517,"2013-14","Optimal Flat",6.26586536470985
6931519,"2013-14","Moderate Drought",4.00478753578537
6931519,"2013-14","Optimal Bed",6.41159236738016
6931519,"2013-14","Heat",2.4281463130311
6931519,"2013-14","Severe Drought",2.27102849116651
6931519,"2013-14","Optimal Flat",6.04003990302385
6931520,"2013-14","Moderate Drought",3.8855150217777
6931520,"2013-14","Optimal Bed",6.24266062131414
6931520,"2013-14","Heat",2.01380145269884
6931520,"2013-14","Severe Drought",2.26404036992101
6931520,"2013-14","Optimal Flat",6.45586334853707
6931531,"2013-14","Moderate Drought",4.01819471553538
6931531,"2013-14","Optimal Bed",5.97881565105056
6931531,"2013-14","Heat",2.23644193611235
6931531,"2013-14","Severe Drought",2.22742257435349
6931531,"2013-14","Optimal Flat",5.75745855967547
6931560,"2013-14","Moderate Drought",3.94706679162164
6931560,"2013-14","Optimal Bed",6.32529615554986
6931560,"2013-14","Heat",2.34661241389758
6931560,"2013-14","Severe Drought",1.9421810083041
6931560,"2013-14","Optimal Flat",6.40221656483999
6931568,"2013-14","Moderate Drought",3.87221065408186
6931568,"2013-14","Optimal Bed",6.43254724587759
6931568,"2013-14","Heat",2.02616650232394
6931568,"2013-14","Severe Drought",2.19037787716035
6931568,"2013-14","Optimal Flat",6.09684745093814
6931587,"2013-14","Moderate Drought",3.61188562200258
6931587,"2013-14","Optimal Bed",6.5215944761118
6931587,"2013-14","Heat",2.73938177748278
6931587,"2013-14","Severe Drought",1.76355562247469
6931587,"2013-14","Optimal Flat",6.36326160326678
6931590,"2013-14","Moderate Drought",3.74684786501348
6931590,"2013-14","Optimal Bed",6.3096109461005
6931590,"2013-14","Heat",2.82007545979389
6931590,"2013-14","Severe Drought",2.07665519051921
6931590,"2013-14","Optimal Flat",6.30415936247911
6931593,"2013-14","Moderate Drought",3.61159237499572
6931593,"2013-14","Optimal Bed",6.04567642608802
6931593,"2013-14","Heat",2.56450866663861
6931593,"2013-14","Severe Drought",2.20878693339048
6931593,"2013-14","Optimal Flat",6.09443068731454
6931606,"2013-14","Moderate Drought",3.95945461583245
6931606,"2013-14","Optimal Bed",6.42937066948011
6931606,"2013-14","Heat",2.09372039612718
6931606,"2013-14","Severe Drought",1.72356341953506
6931606,"2013-14","Optimal Flat",6.69264370192752
6931608,"2013-14","Moderate Drought",3.72280095587153
6931608,"2013-14","Optimal Bed",6.77497718503201
6931608,"2013-14","Heat",2.37173565413462
6931608,"2013-14","Severe Drought",2.06251241466849
6931608,"2013-14","Optimal Flat",5.99771732041983
6931614,"2013-14","Moderate Drought",3.45883524726776
6931614,"2013-14","Optimal Bed",6.17346599604396
6931614,"2013-14","Heat",2.39584626928542
6931614,"2013-14","Severe Drought",2.35766852628783
6931614,"2013-14","Optimal Flat",6.1018640166021
6931630,"2013-14","Moderate Drought",3.79197297210355
6931630,"2013-14","Optimal Bed",6.31293880193112
6931630,"2013-14","Heat",2.58091514773592
6931630,"2013-14","Severe Drought",2.52357254284182
6931630,"2013-14","Optimal Flat",5.83802005762038
6931632,"2013-14","Moderate Drought",3.46893597338665
6931632,"2013-14","Optimal Bed",5.88673837543657
6931632,"2013-14","Heat",2.22654380875493
6931632,"2013-14","Severe Drought",2.03368027376793
6931632,"2013-14","Optimal Flat",5.6905952401962
6931635,"2013-14","Moderate Drought",3.84661172379332
6931635,"2013-14","Optimal Bed",6.0667437029301
6931635,"2013-14","Heat",2.23470772070661
6931635,"2013-14","Severe Drought",2.19477712832262
6931635,"2013-14","Optimal Flat",5.87391925857304
6931644,"2013-14","Moderate Drought",3.55151315041626
6931644,"2013-14","Optimal Bed",6.41095838269862
6931644,"2013-14","Heat",2.44127773584347
6931644,"2013-14","Severe Drought",2.35534502196516
6931644,"2013-14","Optimal Flat",5.89635420976983
6931645,"2013-14","Moderate Drought",3.77970258688585
6931645,"2013-14","Optimal Bed",6.51974165974054
6931645,"2013-14","Heat",2.04802247240517
6931645,"2013-14","Severe Drought",1.6129322576061
6931645,"2013-14","Optimal Flat",6.27525415390993
6931655,"2013-14","Moderate Drought",3.6684021630084
6931655,"2013-14","Optimal Bed",5.97020892270005
6931655,"2013-14","Heat",2.33117704897214
6931655,"2013-14","Severe Drought",2.35108553976196
6931655,"2013-14","Optimal Flat",5.95142466186809
6931663,"2013-14","Moderate Drought",3.30696791658571
6931663,"2013-14","Optimal Bed",6.21377448508988
6931663,"2013-14","Heat",2.32521813658642
6931663,"2013-14","Severe Drought",0.997696730802808
6931663,"2013-14","Optimal Flat",6.00506082830438
6931675,"2013-14","Moderate Drought",4.07359071820722
6931675,"2013-14","Optimal Bed",6.21044185836769
6931675,"2013-14","Heat",2.61293203320182
6931675,"2013-14","Severe Drought",2.50170893792286
6931675,"2013-14","Optimal Flat",6.47711732849805
6931677,"2013-14","Moderate Drought",3.18812943875252
6931677,"2013-14","Optimal Bed",5.68251124954724
6931677,"2013-14","Heat",2.23748717601508
6931677,"2013-14","Severe Drought",0.423998224898104
6931677,"2013-14","Optimal Flat",5.85299508294211
6931698,"2013-14","Moderate Drought",3.50971231735771
6931698,"2013-14","Optimal Bed",6.23013152284138
6931698,"2013-14","Heat",2.18016076328966
6931698,"2013-14","Severe Drought",2.1011801193424
6931698,"2013-14","Optimal Flat",6.33584518183695
6931705,"2013-14","Moderate Drought",3.3876445883633
6931705,"2013-14","Optimal Bed",5.63728664805155
6931705,"2013-14","Heat",2.02263998350281
6931705,"2013-14","Severe Drought",1.15508360986816
6931705,"2013-14","Optimal Flat",5.36182945455001
6931707,"2013-14","Moderate Drought",3.79613908335852
6931707,"2013-14","Optimal Bed",6.30762277417873
6931707,"2013-14","Heat",1.92461871771732
6931707,"2013-14","Severe Drought",2.08547429847585
6931707,"2013-14","Optimal Flat",5.84840570769198
6931728,"2013-14","Moderate Drought",3.19648638804969
6931728,"2013-14","Optimal Bed",5.50761975478479
6931728,"2013-14","Heat",2.36127186828247
6931728,"2013-14","Severe Drought",1.77175376028103
6931728,"2013-14","Optimal Flat",5.73264282930005
6931729,"2013-14","Moderate Drought",3.40165546689346
6931729,"2013-14","Optimal Bed",5.93813996630911
6931729,"2013-14","Heat",2.54755703659
6931729,"2013-14","Severe Drought",2.27183785494059
6931729,"2013-14","Optimal Flat",6.37994657623335
6931730,"2013-14","Moderate Drought",3.12657683820099
6931730,"2013-14","Optimal Bed",5.71618470716869
6931730,"2013-14","Heat",2.30954298986937
6931730,"2013-14","Severe Drought",1.9264039313021
6931730,"2013-14","Optimal Flat",6.3988180850045
6931736,"2013-14","Moderate Drought",3.38448107968758
6931736,"2013-14","Optimal Bed",6.04175602921655
6931736,"2013-14","Heat",2.16447264857685
6931736,"2013-14","Severe Drought",1.34858453140004
6931736,"2013-14","Optimal Flat",6.08126628968096
6931754,"2013-14","Moderate Drought",3.11403689751173
6931754,"2013-14","Optimal Bed",5.73412360438568
6931754,"2013-14","Heat",2.03402611252508
6931754,"2013-14","Severe Drought",1.5326815264576
6931754,"2013-14","Optimal Flat",6.0767436802902
6931780,"2013-14","Moderate Drought",3.47824612922427
6931780,"2013-14","Optimal Bed",6.49928995924777
6931780,"2013-14","Heat",2.95142843999057
6931780,"2013-14","Severe Drought",1.99024880484479
6931780,"2013-14","Optimal Flat",6.11923580000266
6931781,"2013-14","Moderate Drought",3.66783499652752
6931781,"2013-14","Optimal Bed",6.4286946921048
6931781,"2013-14","Heat",2.87512504864803
6931781,"2013-14","Severe Drought",1.93986630573024
6931781,"2013-14","Optimal Flat",6.18264923885135
6931814,"2013-14","Moderate Drought",3.50743629587248
6931814,"2013-14","Optimal Bed",6.20294856376641
6931814,"2013-14","Heat",2.56080415519001
6931814,"2013-14","Severe Drought",2.20926258641426
6931814,"2013-14","Optimal Flat",6.06745429496934
6931822,"2013-14","Moderate Drought",3.46508792625502
6931822,"2013-14","Optimal Bed",5.2853403077187
6931822,"2013-14","Heat",2.00696920407186
6931822,"2013-14","Severe Drought",1.7684362915202
6931822,"2013-14","Optimal Flat",5.8595361526838
6931840,"2013-14","Moderate Drought",3.83623350836553
6931840,"2013-14","Optimal Bed",5.97640619918504
6931840,"2013-14","Heat",2.00781662575058
6931840,"2013-14","Severe Drought",2.56867117871634
6931840,"2013-14","Optimal Flat",5.92063685559324
6931845,"2013-14","Moderate Drought",3.88851657415858
6931845,"2013-14","Optimal Bed",6.23210718235306
6931845,"2013-14","Heat",2.45523563421923
6931845,"2013-14","Severe Drought",2.220932758189
6931845,"2013-14","Optimal Flat",6.21474116913456
6931852,"2013-14","Moderate Drought",3.56364808998373
6931852,"2013-14","Optimal Bed",6.2066106622292
6931852,"2013-14","Heat",2.47886173091903
6931852,"2013-14","Severe Drought",2.11148833047495
6931852,"2013-14","Optimal Flat",5.95599817651046
6931862,"2013-14","Moderate Drought",3.86626757132023
6931862,"2013-14","Optimal Bed",5.99525041617285
6931862,"2013-14","Heat",2.13777910909237
6931862,"2013-14","Severe Drought",2.12728987930452
6931862,"2013-14","Optimal Flat",6.32315231946299
6931889,"2013-14","Moderate Drought",3.5228425667526
6931889,"2013-14","Optimal Bed",5.82849244356046
